OUTPUT Filename,Site,Buoy Size,Total mass,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,% time submerged,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost
HU_buoyL_mass15327_wavesMax_currAve,Hueneme,Large,15327,Max,Average,,,,,,,,0,240,,,0,1240
HU_buoyL_mass5547_wavesAve_currMax,Hueneme,Large,5547,Average,Max,,,,,,,,0,240,,,0,1240
HU_buoyL_mass6896_wavesAve_currMax,Hueneme,Large,6896,Average,Max,,,,,,,,0,240,,,0,1240
HU_buoyL_mass8582_wavesAve_currMax,Hueneme,Large,8582,Average,Max,,,,,,,,0,240,,,0,1240
HU_buoyL_mass11954_wavesAve_currMax,Hueneme,Large,11954,Average,Max,,,,,,,,0,240,,,0,1240
HU_buoyL_mass15327_wavesAve_currMax,Hueneme,Large,15327,Average,Max,,,,,,,,0,240,,,0,1240
BE_buoyL_mass5547_wavesMax_currAve,Bering,Large,5547,Max,Average,,,,,,,,0,240,,,0,1240
BE_buoyL_mass6896_wavesMax_currAve,Bering,Large,6896,Max,Average,,,,,,,,0,240,,,0,1240
BE_buoyL_mass8582_wavesMax_currAve,Bering,Large,8582,Max,Average,,,,,,,,0,240,,,0,1240
BE_buoyL_mass11954_wavesMax_currAve,Bering,Large,11954,Max,Average,,,,,,,,0,240,,,0,1240
BE_buoyL_mass15327_wavesMax_currAve,Bering,Large,15327,Max,Average,,,,,,,,0,240,,,0,1240
BE_buoyL_mass5547_wavesAve_currMax,Bering,Large,5547,Average,Max,,,,,,,,0,240,,,0,1240
BE_buoyL_mass6896_wavesAve_currMax,Bering,Large,6896,Average,Max,,,,,,,,0,240,,,0,1240
BE_buoyL_mass8582_wavesAve_currMax,Bering,Large,8582,Average,Max,,,,,,,,0,240,,,0,1240
BE_buoyL_mass11954_wavesAve_currMax,Bering,Large,11954,Average,Max,,,,,,,,0,240,,,0,1240
BE_buoyL_mass15327_wavesAve_currMax,Bering,Large,15327,Average,Max,,,,,,,,0,240,,,0,1240
SF_buoyL_mass5547_wavesMax_currAve,SFOMF,Large,5547,Max,Average,,,,,,,,0,240,,,0,1240
SF_buoyL_mass6896_wavesMax_currAve,SFOMF,Large,6896,Max,Average,,,,,,,,0,240,,,0,1240
SF_buoyL_mass8582_wavesMax_currAve,SFOMF,Large,8582,Max,Average,,,,,,,,0,240,,,0,1240
SF_buoyL_mass11954_wavesMax_currAve,SFOMF,Large,11954,Max,Average,,,,,,,,0,240,,,0,1240
SF_buoyL_mass15327_wavesMax_currAve,SFOMF,Large,15327,Max,Average,,,,,,,,0,240,,,0,1240
SF_buoyL_mass5547_wavesAve_currMax,SFOMF,Large,5547,Average,Max,,,,,,,,0,240,,,0,1240
SF_buoyL_mass6896_wavesAve_currMax,SFOMF,Large,6896,Average,Max,,,,,,,,0,240,,,0,1240
SF_buoyL_mass8582_wavesAve_currMax,SFOMF,Large,8582,Average,Max,,,,,,,,0,240,,,0,1240
SF_buoyL_mass11954_wavesAve_currMax,SFOMF,Large,11954,Average,Max,,,,,,,,0,240,,,0,1240
SF_buoyL_mass15327_wavesAve_currMax,SFOMF,Large,15327,Average,Max,,,,,,,,0,240,,,0,1240
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,0.1249190939,,,,,,,,,,,,,
,,,,,12,,,,,,,,,,,,,
,,,,,62,,,,,,,,,,,,,
,,,,,125,,,,,,,,,,,,,
,,,,,250,,,,,,,,,,,,,
,,,,,375,,,,,,,,,,,,,
,,,,,0.1247877759,,,,,,,,,,,,,
