OUTPUT Filename,Site,Buoy Size,Total mass,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,% time submerged,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost
MA_buoyM_mass2045_wavesAve_currMax,Mid Atlantic,Medium,2045,Average,Max,85,40,5999.738281,5862.350586,1292.825806,0.29936377,0,1148.294,1048.72706,5562.052888,19,10700,13897.02106
MA_buoyM_mass2545_wavesAve_currMax,Mid Atlantic,Medium,2545,Average,Max,85,40,6944.030273,6773.068848,1591.702271,0.190692336,0,1148.294,1048.72706,6448.158179,21,11300,14497.02106
MA_buoyM_mass3545_wavesAve_currMax,Mid Atlantic,Medium,3545,Average,Max,85,40,8816.782227,8580.385742,2083.105225,0.047404472,0,1148.294,1048.72706,8183.764914,27,15100,18297.02106
MA_buoyM_mass4545_wavesAve_currMax,Mid Atlantic,Medium,4545,Average,Max,85,40,10646.31543,10405.71582,2493.10791,-0.171649314,0.062890062,1148.294,1048.72706,9917.270324,33,17900,21097.02106
PS_buoyM_mass1645_wavesMax_currAve,PISCES,Medium,1645,Max,Average,300,40,1763.744,985.2986,13.33078,-0.81339,0.014882,1148.294,3094.3308,888.9772605,3,1900,7142.6248
PS_buoyM_mass2045_wavesMax_currAve,PISCES,Medium,2045,Max,Average,300,40,1734.466,978.3383,13.28566,-0.92427,0.029285,1148.294,3094.3308,882.7084157,3,1900,7142.6248
PS_buoyM_mass2545_wavesMax_currAve,PISCES,Medium,2545,Max,Average,300,40,1767.925,972.2902,13.25098,-1.18376,0.041767,1148.294,3094.3308,877.2621681,3,1900,7142.6248
PS_buoyM_mass3545_wavesMax_currAve,PISCES,Medium,3545,Max,Average,300,40,1800.881,1014.751,13.52472,-1.5754,0.206913,1148.294,3094.3308,915.5044563,3,1900,7142.6248
PS_buoyM_mass4545_wavesMax_currAve,PISCES,Medium,4545,Max,Average,300,40,2366.731,1438.351,16.02723,-1.82929,0.409506,1148.294,3094.3308,1296.968141,4,2200,7442.6248
PS_buoyM_mass1645_wavesAve_currMax,PISCES,Medium,1645,Average,Max,300,40,1014.046,494.9844,9.65736,0.473078,0,1148.294,3094.3308,447.260947,1,300,5542.6248
PS_buoyM_mass2045_wavesAve_currMax,PISCES,Medium,2045,Average,Max,300,40,1082.838,557.937,10.19695,0.419647,0,1148.294,3094.3308,503.9892248,2,1600,6842.6248
PS_buoyM_mass2545_wavesAve_currMax,PISCES,Medium,2545,Average,Max,300,40,1174.467,629.9623,10.77931,0.342378,0,1148.294,3094.3308,568.885289,2,1600,6842.6248
PS_buoyM_mass3545_wavesAve_currMax,PISCES,Medium,3545,Average,Max,300,40,1314.221,753.5813,11.7209,0.201295,0,1148.294,3094.3308,680.2551633,2,1600,6842.6248
PS_buoyM_mass4545_wavesAve_currMax,PISCES,Medium,4545,Average,Max,300,40,1469.679,910.5692,12.83216,0.073661,0,1148.294,3094.3308,821.6684942,3,1900,7142.6248
HU_buoyM_mass1645_wavesMax_currAve,Hueneme,Medium,1645,Max,Average,200,40,0,0,0,0,#DIV/0!,1148.294,2142.8872,0,0,0,4291.1812
HU_buoyM_mass2045_wavesMax_currAve,Hueneme,Medium,2045,Max,Average,200,40,7110.708496,5656.197754,1583.143555,-2.620343392,0.282285166,1148.294,2142.8872,5441.943692,18,10400,14691.1812
HU_buoyM_mass2545_wavesMax_currAve,Hueneme,Medium,2545,Max,Average,200,40,4510.822754,3732.43042,724.1509399,-5.545070876,0.352856457,1148.294,2142.8872,3518.990565,12,6600,10891.1812
HU_buoyM_mass3545_wavesMax_currAve,Hueneme,Medium,3545,Max,Average,200,40,4859.469238,4014.911621,867.9194336,-6.717911353,0.551608257,1148.294,2142.8872,3805.316818,13,6900,11191.1812
HU_buoyM_mass4545_wavesMax_currAve,Hueneme,Medium,4545,Max,Average,200,40,5266.893555,4407.161621,933.2091675,-6.421458043,0.730676908,1148.294,2142.8872,4172.70515,14,8200,12491.1812
HU_buoyM_mass1645_wavesAve_currMax,Hueneme,Medium,1645,Average,Max,200,40,525.5142822,233.3226776,7.083468914,0.51369851,0,1148.294,2142.8872,211.3961155,1,300,4591.1812
HU_buoyM_mass2045_wavesAve_currMax,Hueneme,Medium,2045,Average,Max,200,40,590.0430908,280.2747192,7.578892708,0.463847661,0,1148.294,2142.8872,253.7267626,1,300,4591.1812
HU_buoyM_mass2545_wavesAve_currMax,Hueneme,Medium,2545,Average,Max,200,40,667.2348022,346.6807861,8.233525276,0.399487154,0,1148.294,2142.8872,313.5862593,1,300,4591.1812
HU_buoyM_mass3545_wavesAve_currMax,Hueneme,Medium,3545,Average,Max,200,40,828.9953613,476.1418762,9.465537071,0.263657835,0,1148.294,2142.8872,430.2746278,1,300,4591.1812
HU_buoyM_mass4545_wavesAve_currMax,Hueneme,Medium,4545,Average,Max,200,40,957.2623291,586.6463013,10.42233944,0.127512213,0,1148.294,2142.8872,529.855296,2,1600,5891.1812
BE_buoyM_mass1645_wavesMax_currAve,Bering,Medium,1645,Max,Average,65,40,6043.315918,5485.400879,1736.901245,-2.056639115,0.199711954,1148.294,858.43834,5322.92787,18,10400,13406.73234
BE_buoyM_mass2045_wavesMax_currAve,Bering,Medium,2045,Max,Average,65,40,9343.648438,8515.880859,2868.109863,-4.713459938,0.24243879,1148.294,858.43834,8302.231166,28,15400,18406.73234
BE_buoyM_mass2545_wavesMax_currAve,Bering,Medium,2545,Max,Average,65,40,9742.213867,9094.564453,2862.04834,-5.341009298,0.32981277,1148.294,858.43834,8821.220823,29,15700,18706.73234
BE_buoyM_mass3545_wavesMax_currAve,Bering,Medium,3545,Max,Average,65,40,9630.195313,8975.654297,2797.836426,-7.007960135,0.456553048,1148.294,858.43834,8699.861972,29,15700,18706.73234
BE_buoyM_mass4545_wavesMax_currAve,Bering,Medium,4545,Max,Average,65,40,9618.380859,8877.135742,2833.117188,-6.311653691,0.700432069,1148.294,858.43834,8619.205203,29,15700,18706.73234
BE_buoyM_mass1645_wavesAve_currMax,Bering,Medium,1645,Average,Max,65,40,558.8291626,343.0054626,8.322558403,0.313764929,0,1148.294,858.43834,310.3014231,1,300,3306.73234
BE_buoyM_mass2045_wavesAve_currMax,Bering,Medium,2045,Average,Max,65,40,610.3563843,378.1639099,8.591698647,0.276056848,0,1148.294,858.43834,341.9764016,1,300,3306.73234
BE_buoyM_mass2545_wavesAve_currMax,Bering,Medium,2545,Average,Max,65,40,623.8913574,400.2826843,8.839764595,0.134995004,0,1148.294,858.43834,361.9213688,1,300,3306.73234
BE_buoyM_mass3545_wavesAve_currMax,Bering,Medium,3545,Average,Max,65,40,856.9594116,612.9703979,10.73428631,0.029061759,0,1148.294,858.43834,553.5960494,2,1600,4606.73234
BE_buoyM_mass4545_wavesAve_currMax,Bering,Medium,4545,Average,Max,65,40,990.5065918,700.2783813,11.32192039,-0.121769592,0.037445991,1148.294,858.43834,632.2354882,2,1600,4606.73234
SF_buoyM_mass1645_wavesMax_currAve,SFOMF,Medium,1645,Max,Average,245,40,11101.38477,9339.760742,2914.042969,-3.804390471,0.240518483,1148.294,2571.03682,9053.389719,30,17000,21719.33082
