OUTPUT Filename,Site,Buoy Size,Total mass,Payload,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost,Tether safety factor,Run 2
MA_buoyM_mass8900_RGwavesAve_currMax.dat,Mid Atlantic,Medium,8900,4000,Average,Max,85,10,9255,8706,3196,0.7,$287,"$1,963",8547,11,"$6,300","$9,550",14.5,
MA_buoyM_mass11900_RGwavesAve_currMax.dat,Mid Atlantic,Medium,11900,7000,Average,Max,85,10,11664,11100,3723,0.4,$287,"$1,963",10818,14,"$8,200","$11,450",11.5,
MA_buoyM_mass15900_RGwavesAve_currMax.dat,Mid Atlantic,Medium,15900,11000,Average,Max,85,10,16416,15838,4442,-0.2,$287,"$1,963",15241,19,"$10,700","$13,950",8.2,
PS_buoyM_mass4900_RGwavesMax_currAve.dat,PISCES,Medium,4900,0,Max,Average,244,10,1026,385,279,1.1,$287,"$3,476",409,1,$300,"$5,063",130.5,
PS_buoyM_mass6900_RGwavesMax_currAve.dat,PISCES,Medium,6900,2000,Max,Average,244,10,1081,418,336,0.9,$287,"$3,476",451,1,$300,"$5,063",123.9,
PS_buoyM_mass8900_RGwavesMax_currAve.dat,PISCES,Medium,8900,4000,Max,Average,244,10,1142,453,393,0.8,$287,"$3,476",496,1,$300,"$5,063",117.2,
PS_buoyM_mass11900_RGwavesMax_currAve.dat,PISCES,Medium,11900,7000,Max,Average,244,10,1240,514,476,0.5,$287,"$3,476",570,1,$300,"$5,063",108.0,
PS_buoyM_mass15900_RGwavesMax_currAve.dat,PISCES,Medium,15900,11000,Max,Average,244,10,1361,597,576,0.2,$287,"$3,476",666,1,$300,"$5,063",98.4,
PS_buoyM_mass4900_RGwavesAve_currMax.dat,PISCES,Medium,4900,0,Average,Max,244,10,1212,488,433,1.1,$287,"$3,476",537,1,$300,"$5,063",110.5,
PS_buoyM_mass6900_RGwavesAve_currMax.dat,PISCES,Medium,6900,2000,Average,Max,244,10,1341,572,536,0.9,$287,"$3,476",635,1,$300,"$5,063",99.8,
PS_buoyM_mass8900_RGwavesAve_currMax.dat,PISCES,Medium,8900,4000,Average,Max,244,10,1461,657,629,0.7,$287,"$3,476",732,1,$300,"$5,063",91.7,
PS_buoyM_mass11900_RGwavesAve_currMax.dat,PISCES,Medium,11900,7000,Average,Max,244,10,1642,793,765,0.5,$287,"$3,476",885,1,$300,"$5,063",81.6,
PS_buoyM_mass15900_RGwavesAve_currMax.dat,PISCES,Medium,15900,11000,Average,Max,244,10,1870,971,927,0.1,$287,"$3,476",1081,1,$300,"$5,063",71.6,
HU_buoyM_mass4900_RGwavesMax_currAve.dat,Hueneme,Medium,4900,0,Max,Average,150,10,888,402,244,1.0,$287,"$2,581",416,1,$300,"$4,168",150.8,
HU_buoyM_mass6900_RGwavesMax_currAve.dat,Hueneme,Medium,6900,2000,Max,Average,150,10,976,454,328,0.9,$287,"$2,581",482,1,$300,"$4,168",137.2,
HU_buoyM_mass8900_RGwavesMax_currAve.dat,Hueneme,Medium,8900,4000,Max,Average,150,10,1054,493,402,0.7,$287,"$2,581",534,1,$300,"$4,168",127.0,
HU_buoyM_mass11900_RGwavesMax_currAve.dat,Hueneme,Medium,11900,7000,Max,Average,150,10,1206,576,520,0.4,$287,"$2,581",635,1,$300,"$4,168",111.0,
HU_buoyM_mass15900_RGwavesMax_currAve.dat,Hueneme,Medium,15900,11000,Max,Average,150,10,1369,687,647,0.0,$287,"$2,581",763,1,$300,"$4,168",97.8,
HU_buoyM_mass4900_RGwavesAve_currMax.dat,Hueneme,Medium,4900,0,Average,Max,150,10,1241,588,548,1.1,$287,"$2,581",652,1,$300,"$4,168",107.9,
HU_buoyM_mass6900_RGwavesAve_currMax.dat,Hueneme,Medium,6900,2000,Average,Max,150,10,1494,767,738,0.9,$287,"$2,581",855,1,$300,"$4,168",89.6,
